SỞ Y TẾ HÀ NỘI
BỆNH VIỆN TIM HÀ NỘI
VÌ MỘT TRÁI TIM KHỎE

BẢNG GIÁ BẢO HIỂM Y TẾ

===================================================================
MỤC LỤC
===================================================================
DANH MỤC                                             CHỈ MÀU ĐÁNH DẤU
1. BẢNG GIÁ KHÁM BỆNH VÀ NGÀY GIƯỜNG                 (tím)
2. BẢNG GIÁ XÉT NGHIỆM                                (cam)
3. BẢNG GIÁ THỦ THUẬT VÀ CHẨN ĐOÁN HÌNH ẢNH           (xanh lá)
4. BẢNG GIÁ CHỤP CỘNG HƯỞNG TỪ                        (vàng)
5. BẢNG GIÁ CHỤP CẮT LỚP VI TÍNH                      (đỏ)
6. BẢNG GIÁ CAN THIỆP TIM MẠCH                        (xanh dương)

Ghi chú chung: Bảng giá BHYT áp dụng theo Thông tư số 22/2023/TT-BYT
của Bộ Y tế hiện hành (một số mục Chụp cắt lớp vi tính áp dụng thêm
điều kiện thanh toán tại Thông tư số 13/2020 của Bộ Y tế hiện hành).
Đơn vị tính: VNĐ

===================================================================
1. BẢNG GIÁ BẢO HIỂM Y TẾ - KHÁM BỆNH VÀ NGÀY GIƯỜNG ĐIỀU TRỊ
===================================================================
STT | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | Khám bệnh | 42.100 |
2 | Giường Nội khoa | 255.300 |
3 | Giường Hồi sức cấp cứu | 474.700 |
4 | Giường Hồi sức tích cực | 786.300 |
5 | Giường Ngoại khoa loại 1 | 339.000 |
6 | Giường Ngoại khoa loại 2 | 308.500 |
7 | Giường Ngoại khoa loại 3 | 270.500 |
8 | Giường Ngoại khoa loại 4 | 242.100 |

===================================================================
2. BẢNG GIÁ BẢO HIỂM Y TẾ - XÉT NGHIỆM
===================================================================
STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
338 | 16.0197.1036 | Phẫu thuật nhổ răng lạc chỗ | 348.000 |
339 | 16.0072.1018 | Phục hồi cổ răng bằng Composite | 348.000 |
340 | 16.0072.1018 | Phục hồi cổ răng bằng Composite | 348.000 |
341 | 16.0067.1031 | Điều trị sâu ngà răng phục hồi bằng GlassIonomer Cement (GIC) kết hợp Composite | 259.000 |
342 | 16.0205.1024 | Nhổ chân răng vĩnh viễn | 200.000 |
343 | 16.0203.1026 | Nhổ răng vĩnh viễn | 218.000 |
344 | 16.0070.1031 | Điều trị sâu ngà răng phục hồi bằng GlassIonomer Cement | 259.000 |
345 | 16.0068.1031 | Điều trị sâu ngà răng phục hồi bằng Composite | 259.000 |
346 | 16.0067.1031 | Điều trị sâu ngà răng phục hồi bằng GlassIonomer Cement (GIC) kết hợp Composite | 259.000 |
347 | 16.0069.1031 | Điều trị sâu ngà răng phục hồi bằng Amalgam | 259.000 |
348 | 16.0074.1018 | Phục hồi cổ răng bằng GlassIonomer Cement | 348.000 |
349 | 16.0225.1035 | Trám bít hố rãnh bằng nhựa Sealant | 224.000 |
350 | 16.0238.1029 | Nhổ răng sữa | 40.700 |
351 | 16.0043.1020 | Lấy cao răng | 143.000 |

===================================================================
4. BẢNG GIÁ BẢO HIỂM Y TẾ - CHỤP CỘNG HƯỞNG TỪ
===================================================================
STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | 18.0296.0066 | Chụp cộng hưởng từ sọ não (0.2-1.5T) | 1.322.000 |
2 | 18.0297.0065 | Chụp cộng hưởng từ sọ não có tiêm chất tương phản (0.2-1.5T) | 2.227.000 |
3 | 18.0298.0066 | Chụp cộng hưởng từ não- mạch não không tiêm chất tương phản | 1.322.000 |
4 | 18.0300.0066 | Chụp cộng hưởng từ hệ mạch cổ không tiêm chất tương phản | 1.322.000 |
5 | 18.0301.0065 | Chụp cộng hưởng từ hệ mạch cổ có tiêm chất tương phản | 2.227.000 |
6 | 18.0302.0065 | Chụp cộng hưởng từ tuyến yên có tiêm chất tương phản | 2.227.000 |
7 | 18.0303.0066 | Chụp cộng hưởng từ hốc mắt và thần kinh thị giác | 1.322.000 |
8 | 18.0304.0065 | Chụp cộng hưởng từ hốc mắt và thần kinh thị giác có tiêm chất tương phản | 2.227.000 |
9 | 18.0305.0065 | Chụp cộng hưởng từ tưới máu não (perfusion) | 2.227.000 |
10 | 18.0306.0068 | Chụp cộng hưởng từ phổ não (spect tính rography) (0.2-1.5T) | 3.191.000 |
11 | 18.0308.0066 | Chụp cộng hưởng từ khuếch tán (DWI - Diffusion-weighted Imaging) (0.2-1.5T) | 1.322.000 |
12 | 18.0309.0065 | Chụp cộng hưởng từ đáy sọ và xương đá (0.2-1.5T) | 2.227.000 |
13 | 18.0310.0066 | Chụp cộng hưởng từ vùng mặt - cổ (0.2-1.5T) | 1.322.000 |
14 | 18.0311.0065 | Chụp cộng hưởng từ vùng mặt - cổ có tiêm tương phản (0.2-1.5T) | 2.227.000 |
15 | 18.0312.0068 | Chụp cộng hưởng từ sọ não chức năng (0.2-1.5T) | 3.191.000 |
16 | 18.0313.0066 | Chụp cộng hưởng từ lồng ngực (0.2-1.5T) | 1.322.000 |
17 | 18.0314.0065 | Chụp cộng hưởng từ lồng ngực có tiêm thuốc cản quang | 2.227.000 |
18 | 18.0315.0065 | Chụp cộng hưởng từ thông khí phổi (Heli) (0.2-) | 2.227.000 |
19 | 18.0316.0066 | Chụp cộng hưởng từ tuyến vú (0.2-1.5T) | 1.322.000 |
20 | 18.0317.0065 | Chụp cộng hưởng từ tuyến vú động học có tiêm tương phản (0.2-1.5T) | 2.227.000 |
21 | 18.0318.0068 | Chụp cộng hưởng từ phổ tuyến vú (0.2-1.5T) | 3.191.000 |
22 | 18.0319.0066 | Chụp cộng hưởng từ tầng bụng không tiêm chất tương phản (gồm: chụp cộng hưởng từ gan-mật, tụy, lách, thận, dạ dày-tá tràng...) (0.2-1.5T) | 1.322.000 |
23 | 18.0321.0065 | Chụp cộng hưởng từ vùng chậu (gồm: chụp cộng hưởng từ tử cung-phần phụ, tiền liệt tuyến, đại tràng chậu hông, trực tràng, các khối u vùng chậu, có tiêm) | 2.227.000 |
24 | 18.0322.0065 | Chụp cộng hưởng từ vùng chậu dò hậu môn (0.2-1.5T) | 2.227.000 |
25 | 18.0323.0065 | Chụp cộng hưởng từ vùng chậu có tiêm chất tương phản (0.2-1.5T) | 2.227.000 |
26 | 18.0324.0066 | Chụp cộng hưởng từ bìu, dương vật (0.2-1.5T) | 1.322.000 |
27 | 18.0325.0065 | Chụp cộng hưởng từ bìu, dương vật có tiêm chất tương phản | 2.227.000 |
28 | 18.0326.0066 | Chụp cộng hưởng từ động học sàn chậu, tống phân (defecography-MR) (0.2-1.5T) | 1.322.000 |
29 | 18.0327.0065 | Chụp cộng hưởng từ ruột non (enteroclysis) | 2.227.000 |
30 | 18.0328.0065 | Chụp cộng hưởng từ nội soi ảo khung đại tràng (virtual colonoscopy) | 2.227.000 |
31 | 18.0329.0065 | Chụp cộng hưởng từ tuyến tiền liệt có tiêm chất tương phản | 2.227.000 |
32 | 18.0330.0068 | Chụp cộng hưởng từ phổ tuyến tiền liệt (0.2-1.5T) | 3.191.000 |
33 | 18.0331.0065 | Chụp cộng hưởng từ đánh giá bánh nhau (rau) | 2.227.000 |
34 | 18.0332.0066 | Chụp cộng hưởng từ thai nhi (0.2-1.5T) | 1.322.000 |
35 | 18.0333.0067 | Chụp cộng hưởng từ gan với chất tương phản đặc hiệu mô (0.2-1.5T) [chụp cộng hưởng từ gan bằng chất tương phản thông thường nhưng không xác định được bản chất mô bệnh học] | 8.691.000 |
36 | 18.0334.0066 | Chụp cộng hưởng từ cột sống cổ (0.2-1.5T) | 1.322.000 |
37 | 18.0335.0065 | Chụp cộng hưởng từ cột sống cổ có tiêm tương phản (0.2-1.5T) | 2.227.000 |
38 | 18.0336.0066 | Chụp cộng hưởng từ cột sống ngực (0.2-1.5T) | 1.322.000 |
39 | 18.0337.0065 | Chụp cộng hưởng từ cột sống ngực có tiêm tương phản | 2.227.000 |
40 | 18.0338.0066 | Chụp cộng hưởng từ cột sống thắt lưng - cùng (0.2-1.5T) | 1.322.000 |
41 | 18.0339.0065 | Chụp cộng hưởng từ cột sống thắt lưng - cùng có tiêm thuốc tương phản | 2.227.000 |
42 | 18.0340.0066 | Chụp cộng hưởng từ khớp (0.2-1.5T) | 1.322.000 |
43 | 18.0341.0065 | Chụp cộng hưởng từ khớp có tiêm tương phản | 2.227.000 |
44 | 18.0342.0065 | Chụp cộng hưởng từ khớp có tiêm tương phản | 2.227.000 |
45 | 18.0343.0066 | Chụp cộng hưởng từ xương và tủy xương (0.2-) | 1.322.000 |
46 | 18.0344.0065 | Chụp cộng hưởng từ xương và tủy xương có tiêm chất tương phản | 2.227.000 |
47 | 18.0345.0066 | Chụp cộng hưởng từ phần mềm chi (0.2-1.5T) | 1.322.000 |
48 | 18.0346.0065 | Chụp cộng hưởng từ phần mềm chi có tiêm tương phản | 2.227.000 |
49 | 18.0347.0065 | Chụp cộng hưởng từ động mạch chủ-chậu | 2.227.000 |
50 | 18.0348.0065 | Chụp cộng hưởng từ động mạch chủ-ngực | 2.227.000 |
51 | 18.0349.0065 | Chụp cộng hưởng từ động mạch vành (1.5T) | 2.227.000 |
52 | 18.0350.0065 | Chụp cộng hưởng từ tim (1.5T) | 2.227.000 |
53 | 18.0351.0065 | Chụp cộng hưởng từ tầng trên ổ bụng có khảo sát mạch các tạng (bao gồm mạch: gan, tụy, lách và mạch khối u) (1.5T) | 2.227.000 |
54 | 18.0352.0066 | Chụp cộng hưởng từ động mạch chi trên | 1.322.000 |
55 | 18.0353.0065 | Chụp cộng hưởng từ động mạch chi trên có tiêm thuốc tương phản | 2.227.000 |
56 | 18.0354.0066 | Chụp cộng hưởng từ động mạch chi dưới | 1.322.000 |
57 | 18.0355.0065 | Chụp cộng hưởng từ động mạch chi dưới có tiêm chất tương phản | 2.227.000 |
58 | 18.0358.0066 | Chụp cộng hưởng từ tĩnh mạch (1.5T) | 1.322.000 |
59 | 18.0359.0065 | Chụp cộng hưởng từ tĩnh mạch có tiêm tương phản (1.5T) | 2.227.000 |
60 | 18.0360.0065 | Chụp cộng hưởng từ bạch mạch có tiêm tương phản không đặc hiệu | 2.227.000 |
61 | 18.0361.0065 | Chụp cộng hưởng từ bạch mạch có tiêm tương phản có đặc hiệu | 2.227.000 |
62 | 18.0364.0066 | Chụp cộng hưởng từ dây thần kinh ngoại biên | 1.322.000 |
63 | 18.0365.0068 | Chụp cộng hưởng từ tưới máu các tạng (1.5T) | 3.191.000 |
64 | 18.0297.0065 | Chụp cộng hưởng từ sọ não có tiêm chất tương phản (0.2-1.5T) | 2.227.000 |
65 | 18.0338.0066 | Chụp cộng hưởng từ cột sống thắt lưng - cùng (0.2-1.5T) | 1.322.000 |
66 | 18.0296.0066 | Chụp cộng hưởng từ sọ não (0.2-1.5T) | 1.322.000 |
67 | 18.0313.0066 | Chụp cộng hưởng từ lồng ngực (0.2-1.5T) | 1.322.000 |
68 | 18.0332.0066 | Chụp cộng hưởng từ thai nhi (0.2-1.5T) | 1.322.000 |
69 | 18.0334.0066 | Chụp cộng hưởng từ cột sống cổ (0.2-1.5T) | 1.322.000 |
70 | 18.0338.0066 | Chụp cộng hưởng từ cột sống thắt lưng - cùng (0.2-1.5T) | 1.322.000 |

===================================================================
5. BẢNG GIÁ BẢO HIỂM Y TẾ - CHỤP CẮT LỚP VI TÍNH
===================================================================
(Ghi chú: Bảng giá BHYT áp dụng theo Thông tư số 22/2023/TT-BYT và điều kiện thanh toán tại Thông tư số 13/2020 của Bộ Y tế hiện hành.)

STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | 18.0207.0042 | Chụp cắt lớp vi tính động mạch vành, tim (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
2 | 18.0206.0042 | Chụp cắt lớp vi tính động mạch chủ ngực (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
3 | 18.0201.0042 | Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 64- 128 dãy) [NGƯỜI BỆNH KHÔNG SUY HÔ HẤP] | 643.000 | Chưa bao gồm thuốc cản quang.
4 | 18.0201.0042 | Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 64- 128 dãy) [NGƯỜI BỆNH SUY HÔ HẤP, thời gian nhịn thở < 10 giây] | 1.712.000 | Chưa bao gồm thuốc cản quang.
5 | 18.0200.0043 | Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 64- 128 dãy) [NGƯỜI BỆNH SUY HÔ HẤP, thời gian nhịn thở < 10 giây] | 1.461.000 |
6 | 18.0200.0043 | Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ 64- 128 dãy) [NGƯỜI BỆNH KHÔNG SUY HÔ HẤP] | 532.000 |
7 | 18.0232.0042 | Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
8 | 18.0270.0043 | Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
9 | 18.0205.0042 | Chụp cắt lớp vi tính động mạch phổi (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
10 | 18.0231.0042 | Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
11 | 18.0233.0042 | Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính từ cung-buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
12 | 18.0235.0042 | Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng có tiêm thuốc cản quang (bao gồm mạch: gan, tụy, lách và mạch khối u) (từ 64-128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
13 | 18.0236.0042 | Chụp cắt lớp vi tính hệ tiết niệu có khảo sát mạch thận và/hoặc dựng hình đường bài xuất (từ 64-128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
14 | 18.0274.0043 | Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
15 | 18.0232.0042 | Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) [có tiêm thuốc cản quang] | 643.000 | Chưa bao gồm thuốc cản quang.
16 | 18.0234.0042 | Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ 64-128 dãy) [có tiêm thuốc cản quang] | 643.000 | Chưa bao gồm thuốc cản quang.
17 | 18.0237.0042 | Chụp cắt lớp vi tính gan có dựng hình đường mật (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
18 | 18.0269.0042 | Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
19 | 18.0273.0042 | Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
20 | 18.0276.0042 | Chụp cắt lớp vi tính khớp có tiêm thuốc cản quang vào ổ khớp (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
21 | 18.0278.0042 | Chụp cắt lớp vi tính xương chi có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
22 | 18.0280.0042 | Chụp cắt lớp vi tính mạch máu chi trên (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
23 | 18.0281.0042 | Chụp cắt lớp vi tính mạch máu chi dưới (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
24 | 18.0202.0042 | Chụp cắt lớp vi tính phổi độ phân giải cao (từ 64- 128 dãy) có tiêm thuốc cản quang [BỆNH NHÂN KHÔNG SUY HÔ HẤP] | 643.000 | Chưa bao gồm thuốc cản quang.
25 | 18.0204.0043 | Chụp cắt lớp vi tính nội soi ảo cây phế quản (từ 64- 128 dãy) | 532.000 |
26 | 18.0208.0043 | Chụp cắt lớp vi tính tính điểm vôi hóa mạch vành (từ 64- 128 dãy) | 1.461.000 |
27 | 18.0232.0043 | Chụp cắt lớp vi tính bụng - tiểu khung thường quy (từ 64-128 dãy) [không tiêm thuốc cản quang] | 532.000 |
28 | 18.0268.0043 | Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
29 | 18.0272.0043 | Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
30 | 18.0277.0043 | Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
31 | 18.0279.0044 | Chụp cắt lớp vi tính tầm soát toàn thân (từ 64- 128 dãy) [có tiêm thuốc cản quang] [Chụp đánh giá các giai đoạn của u hoặc đa chấn thương] | 3.467.000 | Chưa bao gồm thuốc cản quang.
32 | 18.0279.0044 | Chụp cắt lớp vi tính tầm soát toàn thân (từ 64- 128 dãy) [có tiêm thuốc cản quang] [TRƯỜNG HỢP KHÔNG ĐÁNH GIÁ các giai đoạn của u hoặc đa chấn thương] | 643.000 | Chưa bao gồm thuốc cản quang.
33 | 18.0231.0042 | Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 64-128 dãy) [có tiêm thuốc cản quang] | 643.000 | Chưa bao gồm thuốc cản quang.
34 | 18.0233.0042 | Chụp cắt lớp vi tính tiểu khung thường quy (gồm: chụp cắt lớp vi tính từ cung-buồng trứng, tiền liệt tuyến, các khối u vùng tiểu khung.v.v.) có tiêm thuốc cản quang | 643.000 | Chưa bao gồm thuốc cản quang.
35 | 18.0231.0042 | Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ 64-128 dãy) [giá 1-32 dãy] | 643.000 | Chưa bao gồm thuốc cản quang.
36 | 18.0236.0042 | Chụp cắt lớp vi tính hệ tiết niệu có khảo sát mạch thận và/hoặc dựng hình đường bài xuất (từ 64-128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
37 | 18.0201.0042 | Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
38 | 18.0205.0042 | Chụp cắt lớp vi tính động mạch phổi (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
39 | 18.0206.0042 | Chụp cắt lớp vi tính động mạch chủ ngực (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
40 | 18.0207.0042 | Chụp cắt lớp vi tính động mạch vành, tim (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
41 | 18.0232.0042 | Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) có tiêm thuốc cản quang | 643.000 | Chưa bao gồm thuốc cản quang.
42 | 18.0237.0042 | Chụp cắt lớp vi tính gan có dựng hình đường mật (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
43 | 18.0269.0042 | Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
44 | 18.0232.0042 | Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
45 | 18.0273.0042 | Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
46 | 18.0201.0042 | Chụp cắt lớp vi tính khớp thường quy có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
47 | 18.0276.0042 | Chụp cắt lớp vi tính khớp có tiêm thuốc cản quang vào ổ khớp (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
48 | 18.0278.0042 | Chụp cắt lớp vi tính xương chi có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
49 | 18.0280.0042 | Chụp cắt lớp vi tính mạch máu chi trên (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
50 | 18.0281.0042 | Chụp cắt lớp vi tính mạch máu chi dưới (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
51 | 18.0202.0043 | Chụp cắt lớp vi tính phổi độ phân giải cao (từ 64- 128 dãy) không tiêm thuốc cản quang [BỆNH NHÂN KHÔNG SUY HÔ HẤP] | 532.000 |
52 | 18.0204.0043 | Chụp cắt lớp vi tính nội soi ảo cây phế quản (từ 64- 128 dãy) | 532.000 |
53 | 18.0232.0042 | Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
54 | 18.0268.0043 | Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
55 | 18.0270.0043 | Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
56 | 18.0272.0043 | Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
57 | 18.0274.0043 | Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
58 | 18.0277.0043 | Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
59 | 18.0279.0044 | Chụp cắt lớp vi tính tầm soát toàn thân (từ 64- 128 dãy) (có tiêm thuốc cản quang) [đánh giá giai đoạn u hoặc đa chấn thương] | 3.467.000 | Chưa bao gồm thuốc cản quang.
60 | 18.0204.0043 | Chụp cắt lớp vi tính nội soi ảo cây phế quản (từ 64- 128 dãy) | 532.000 |
61 | 18.0206.0042 | Chụp cắt lớp vi tính động mạch chủ ngực (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
62 | 18.0206.0042 | Chụp cắt lớp vi tính động mạch chủ ngực (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
63 | 18.0277.0043 | Chụp cắt lớp vi tính xương chi có tiêm thuốc cản quang | 532.000 | Chưa bao gồm thuốc cản quang.
64 | 18.0207.0042 | Chụp cắt lớp vi tính động mạch vành, tim (từ 64- 128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
65 | 18.0278.0042 | Chụp cắt lớp vi tính xương chi có tiêm thuốc cản quang (từ 64- 128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
66 | 18.0275.0043 | Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ 64- 128 dãy) | 532.000 |
67 | 18.0242.0042 | Chụp CLVT động mạch chủ-chậu có tiêm thuốc cản quang | 1.712.000 | Chưa bao gồm thuốc cản quang.
68 | 18.0176.0042 | Chụp CLVT hốc mắt (từ 64-128 dãy) có tiêm thuốc cản quang | 643.000 | Chưa bao gồm thuốc cản quang.
69 | 18.0167.0042 | Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ 64-128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
70 | 18.0168.0042 | Chụp CLVT tưới máu não (CT perfusion) (từ 64-128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
71 | 18.0166.0042 | Chụp CLVT sọ não có tiêm thuốc cản quang (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
72 | 18.0172.0042 | Chụp CLVT hàm-mặt có tiêm thuốc cản quang (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
73 | 18.0175.0042 | Chụp CLVT tai-xương đá có tiêm thuốc cản quang (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
74 | 18.0170.0042 | Chụp CLVT sọ não có dựng hình 3D (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
75 | 18.0241.0043 | Chụp CLVT đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo không tiêm thuốc cản quang (từ 64-128 dãy) | 532.000 |
76 | 18.0241.0042 | Chụp CLVT đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo có tiêm thuốc cản quang (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
77 | 18.0165.0043 | Chụp CLVT sọ não có dựng hình 3D (từ 64-128 dãy) (Không thuốc) | 532.000 |
78 | 18.0171.0043 | Chụp CLVT hàm-mặt không tiêm thuốc cản quang (từ 64-128 dãy) | 532.000 |
79 | 18.0173.0043 | Chụp CLVT hàm mặt có ứng dụng phần mềm nha khoa (từ 64-128 dãy) | 532.000 |
80 | 18.0174.0043 | Chụp CLVT tai-xương đá không tiêm thuốc (từ 64-128 dãy) | 532.000 |
81 | 18.0176.0043 | Chụp CLVT hốc mắt (Không thuốc) (từ 64-128 dãy) | 532.000 |
82 | 18.0177.0042 | Chụp CLVT hàm mặt có dựng hình 3D (từ 64- 128 dãy) (Có thuốc) | 643.000 | Chưa bao gồm thuốc cản quang.
83 | 18.0167.0042 | Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ 64-128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
84 | 18.0168.0042 | Chụp CLVT tưới máu não (CT perfusion) (từ 64-128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
85 | 18.0169.0042 | Chụp CLVT mạch máu não (từ 64-128 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
86 | 18.0166.0042 | Chụp CLVT sọ não có tiêm thuốc cản quang (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
87 | 18.0172.0042 | Chụp CLVT hàm-mặt có tiêm thuốc cản quang (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
88 | 18.0175.0042 | Chụp CLVT tai-xương đá có tiêm thuốc cản quang (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
89 | 18.0176.0042 | Chụp CLVT hốc mắt (từ 64-128 dãy) có tiêm thuốc cản quang | 643.000 | Chưa bao gồm thuốc cản quang.
90 | 18.0241.0042 | Chụp CLVT đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo có tiêm thuốc cản quang (từ 64-128 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
91 | 18.0242.0042 | Chụp CLVT động mạch chủ-chậu có tiêm thuốc cản quang | 1.712.000 | Chưa bao gồm thuốc cản quang.
92 | 18.0165.0043 | Chụp CLVT sọ não có dựng hình 3D (từ 64-128 dãy) (Không thuốc) | 532.000 |
93 | 18.0171.0043 | Chụp CLVT hàm-mặt không tiêm thuốc cản quang (từ 64-128 dãy) | 532.000 |
94 | 18.0173.0043 | Chụp CLVT hàm mặt có ứng dụng phần mềm nha khoa (từ 64-128 dãy) | 532.000 |
95 | 18.0174.0043 | Chụp CLVT tai-xương đá không tiêm thuốc (từ 64-128 dãy) | 532.000 |
