SỞ Y TẾ HÀ NỘI
BỆNH VIỆN TIM HÀ NỘI
VÌ MỘT TRÁI TIM KHỎE

BẢNG GIÁ BẢO HIỂM Y TẾ

===================================================================
MỤC LỤC
===================================================================
DANH MỤC                                             CHỈ MÀU ĐÁNH DẤU
1. BẢNG GIÁ KHÁM BỆNH VÀ NGÀY GIƯỜNG                 (tím)
2. BẢNG GIÁ XÉT NGHIỆM                                (cam)
3. BẢNG GIÁ THỦ THUẬT VÀ CHẨN ĐOÁN HÌNH ẢNH           (xanh lá)
4. BẢNG GIÁ CHỤP CỘNG HƯỞNG TỪ                        (vàng)
5. BẢNG GIÁ CHỤP CẮT LỚP VI TÍNH                      (đỏ)
6. BẢNG GIÁ CAN THIỆP TIM MẠCH                        (xanh dương)

Ghi chú chung: Bảng giá BHYT áp dụng theo Thông tư số 22/2023/TT-BYT
của Bộ Y tế hiện hành (một số mục Chụp cắt lớp vi tính áp dụng thêm
điều kiện thanh toán tại Thông tư số 13/2020 của Bộ Y tế hiện hành).
Đơn vị tính: VNĐ

===================================================================
1. BẢNG GIÁ BẢO HIỂM Y TẾ - KHÁM BỆNH VÀ NGÀY GIƯỜNG ĐIỀU TRỊ
===================================================================
STT | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | Khám bệnh | 42.100 |
2 | Giường Nội khoa | 255.300 |
3 | Giường Hồi sức cấp cứu | 474.700 |
4 | Giường Hồi sức tích cực | 786.300 |
5 | Giường Ngoại khoa loại 1 | 339.000 |
6 | Giường Ngoại khoa loại 2 | 308.500 |
7 | Giường Ngoại khoa loại 3 | 270.500 |
8 | Giường Ngoại khoa loại 4 | 242.100 |

===================================================================
2. BẢNG GIÁ BẢO HIỂM Y TẾ - XÉT NGHIỆM
===================================================================
STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
51 | 23.0133.1494 | Định lượng Protein toàn phần | 21.800 | Mỗi chất
52 | 23.0139.1553 | Định lượng PSA toàn phần (Total prostate-Specific Antigen) [Máu] | 92.900 |
53 | 23.0147.1561 | Định lượng T3 (Tri iodothyronine) | 65.600 |
54 | 23.0148.1561 | Định lượng T4 (Thyroxine) | 65.600 |
55 | 23.0162.1570 | Định lượng TSH (Thyroid Stimulating hormone) | 60.100 |
56 | 23.0166.1494 | Định lượng Urê máu | 21.800 | Mỗi chất
57 | 23.0020.1493 | Đo hoạt độ AST (GOT) | 21.800 | Không thanh toán đối với các xét nghiệm Bilirubin gián tiếp; Tỷ lệ A/G là những xét nghiệm có thể ngoại suy được.
58 | 23.0019.1493 | Đo hoạt độ ALT (GPT) | 21.800 | Không thanh toán đối với các xét nghiệm Bilirubin gián tiếp; Tỷ lệ A/G là những xét nghiệm có thể ngoại suy được.
59 | 23.0112.1506 | Định lượng LDL - C (Low density lipoprotein Cholesterol) | 27.300 |
60 | 23.0084.1506 | Định lượng HDL-C (High density lipoprotein Cholesterol) | 27.300 |
61 | 23.0158.1506 | Định lượng Triglycerid (máu) | 27.300 |
62 | 23.0063.1514 | Định lượng Ferritin | 82.000 |
63 | 23.0015.1461 | Định lượng Anti - TPO (Anti-thyroid Peroxidase antibodies) [Máu] | 207.000 |
64 | 23.0156.1566 | Định lượng TRAb (TSH Receptor Antibodies) [Máu] | 414.000 |
65 | 23.0220.1608 | Phản ứng Rivalta [dịch] | 8.600 |
66 | 23.0098.1529 | Định lượng Insulin [Máu] | 82.000 |
67 | 24.0017.1714 | AFB trực tiếp nhuộm Ziehl-Neelsen | 70.300 |
68 | 24.0008.1722 | Vi khuẩn kháng thuốc định lượng (MIC) (cho 1 loại kháng sinh) | 191.000 |
69 | 24.0006.1723 | Vi khuẩn kháng thuốc định tính | 202.000 |
70 | 24.0322.1724 | Vi khuẩn nuôi cấy và định danh phương pháp thông thường | 246.000 |
71 | 24.0001.1714 | Vi khuẩn nhuộm soi | 70.300 |
72 | 24.0322.1724 | Vi nấm nuôi cấy và định danh phương pháp thông thường | 246.000 |
73 | 24.0317.1674 | Trichomonas vaginalis soi tươi | 43.100 |
74 | 24.0323.1716 | Vi nấm nuôi cấy và định danh hệ thống tự động | 307.000 |
75 | 24.0321.1674 | Vi nấm nhuộm soi | 43.100 |
76 | 23.0103.1531 | Xét nghiệm Khí máu [Máu] | 218.000 |
77 | 23.0104.1532 | Định lượng Lactat (Acid Lactic) [Máu] | 98.400 |

===================================================================
3. BẢNG GIÁ BẢO HIỂM Y TẾ - THỦ THUẬT VÀ CHẨN ĐOÁN HÌNH ẢNH
===================================================================
STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | 18.0073.0028 | Chụp Xquang Hirtz [số hóa] | 68.300 |
2 | 18.0097.0030 | Chụp Xquang khớp cùng chậu thẳng chếch hai bên [số hóa] | 125.000 |
3 | 18.0110.0028 | Chụp Xquang khớp háng nghiêng [số hóa] | 68.300 |
4 | 18.0097.0030 | Chụp Xquang khớp cùng chậu thẳng chếch hai bên [số hóa 3 phim] | 125.000 |
5 | 18.0100.0028 | Chụp Xquang khớp vai thẳng [Chụp X-quang số hóa 1 phim] | 68.300 |
6 | 18.0119.0028 | Chụp Xquang ngực thẳng [số hóa] | 68.300 |
7 | 18.0124.0034 | Chụp Xquang thực quản cổ nghiêng [số hóa] | 239.000 |
8 | 18.0125.0028 | Chụp Xquang bụng không chuẩn bị thẳng hoặc nghiêng [số hóa] | 68.300 |
9 | 18.0127.0028 | Chụp Xquang tại giường [số hóa] | 68.300 |
10 | 18.0128.0028 | Chụp Xquang tại phòng mổ [số hóa] | 68.300 |
11 | 18.0086.0029 | Chụp Xquang cột sống cổ thẳng nghiêng [số hóa] | 100.000 |
12 | 18.0072.0029 | Chụp Xquang Blondeau [số hóa] | 100.000 |
13 | 18.0073.0028 | Chụp Xquang Hirtz [số hóa] | 68.300 |
14 | 18.0067.0029 | Chụp Xquang sọ thẳng nghiêng [số hóa] | 100.000 |
15 | 18.0068.0029 | Chụp Xquang mặt thẳng nghiêng [số hóa] | 100.000 |
16 | 18.0086.0029 | Chụp Xquang cột sống cổ thẳng nghiêng [số hóa] | 100.000 |
17 | 18.0081.2002 | Chụp Xquang răng cận chóp (Periapical) | 14.200 |
18 | 18.0089.0029 | Chụp Xquang cột sống cổ C1-C2 răng [số hóa] | 100.000 |
19 | 18.0090.0029 | Chụp Xquang cột sống ngực thẳng nghiêng [số hóa] | 100.000 |
20 | 18.0082.0028 | Chụp Xquang răng cánh cắn (Bite wing) [số hóa] | 68.300 |
21 | 18.0083.0028 | Chụp Xquang răng toàn cảnh [số hóa] | 68.300 |
22 | 18.0084.0028 | Chụp Xquang phim cắn (Occlusal) [số hóa] | 68.300 |
23 | 18.0122.0029 | Chụp Xquang khớp ức đòn thẳng chếch [số hóa] | 100.000 |
24 | 18.0087.0029 | Chụp Xquang cột sống cổ chếch hai bên [số hóa] | 100.000 |
25 | 18.0088.0030 | Chụp Xquang cột sống cổ động, nghiêng 3 tư thế [số hóa] | 125.000 |
26 | 18.0097.0030 | Chụp Xquang khớp cùng chậu thẳng chếch hai bên [số hóa] | 125.000 |
27 | 18.0100.0028 | Chụp Xquang khớp vai thẳng [số hóa] | 68.300 |
28 | 18.0110.0028 | Chụp Xquang khớp háng nghiêng [số hóa] | 68.300 |
29 | 18.0119.0028 | Chụp Xquang ngực thẳng [số hóa] | 68.300 |
30 | 18.0127.0028 | Chụp Xquang tại giường [Chụp Xquang bụng không chuẩn bị] | 68.300 |
31 | 18.0127.0028 | Chụp Xquang tại giường [Chụp Xquang cột sống thắt lưng] | 68.300 |
32 | 18.0127.0028 | Chụp Xquang tại giường [Chụp Xquang xương cánh tay] | 68.300 |
33 | 18.0127.0028 | Chụp Xquang tại giường [Chụp Xquang khớp háng] | 68.300 |
34 | 18.0127.0028 | Chụp Xquang tại giường [Chụp Xquang ngực nghiêng hoặc chếch mỗi bên] | 68.300 |
35 | 18.0127.0028 | Chụp Xquang tại giường [Chụp Xquang ngực thẳng] | 68.300 |
36 | 18.0127.0028 | Chụp Xquang tại giường [Chụp Xquang xương cổ chân] | 68.300 |
37 | 18.0127.0028 | Chụp Xquang tại giường [Chụp Xquang xương cổ tay] | 68.300 |
38 | 01.0232.0140 | Nội soi dạ dày thực quản cấp cứu chẩn đoán và cầm máu | 753.000 | Chưa bao gồm thuốc cầm máu, dụng cụ cầm máu (clip, bộ thắt tĩnh mạch thực quản...)
39 | 02.0253.0135 | Nội soi thực quản - Dạ dày - Tá tràng cấp cứu | 255.000 |
40 | 20.0067.0140 | Nội soi dạ dày thực quản cấp cứu chảy máu tiêu hoá cao để chẩn đoán và điều trị | 753.000 |
41 | 20.0079.0134 | Nội soi thực quản, dạ dày, tá tràng kết hợp sinh thiết | 455.000 | Đã bao gồm chi phí Test HP
42 | 20.0080.0135 | Nội soi thực quản - dạ dày - tá tràng không sinh thiết | 255.000 |
43 | 02.0255.0319 | Nội soi thực quản - Dạ dày - Tá tràng qua đường mũi | 615.000 |
44 | 02.0314.0001 | Siêu âm ổ bụng | 49.300 |
45 | 01.0303.0001 | Siêu âm cấp cứu tại giường bệnh | 49.300 |
46 | 02.0112.0004 | Siêu âm Doppler mạch máu [SIÊU ÂM TĨNH MẠCH] | 233.000 |
47 | 18.0045.0004 | Siêu âm Doppler động mạch, tĩnh mạch chi dưới | 233.000 |
48 | 02.0112.0004 | Siêu âm Doppler mạch máu [CHI TRÊN] | 233.000 |
49 | 02.0112.0004 | Siêu âm Doppler mạch máu [CHI DƯỚI] | 233.000 |
50 | 02.0114.0006 | Siêu âm tim gắng sức (thảm chạy, thuốc) | 598.000 |
51 | 18.0053.0007 | Siêu âm 3D/4D tim | 468.000 |
52 | 02.0117.0008 | Siêu âm tim qua thực quản | 816.000 |
53 | 18.0048.0004 | Doppler động mạch cảnh, Doppler xuyên sọ | 233.000 |
54 | 02.0113.0004 | Siêu âm Doppler tim | 233.000 |
55 | 18.0044.0001 | Siêu âm phần mềm (da, tổ chức dưới da) | 49.300 |
56 | 03.4252.0004 | Siêu âm tim thai qua thành bụng | 233.000 |
57 | 18.0011.0001 | Siêu âm màng phổi | 49.300 |
58 | 18.0001.0001 | Siêu âm tuyến giáp | 49.300 |
59 | 18.0043.0001 | Siêu âm khớp (gối, háng, khuỷu, cổ tay….) | 49.300 |
60 | 02.0112.0004 | Siêu âm Doppler mạch máu | 233.000 |
61 | 18.0054.0001 | Siêu âm tuyến vú hai bên | 49.300 |
62 | 02.0024.0004 | Siêu âm Doppler động mạch thận | 233.000 |
